record_id,source_dataset,offer_group_id,offer_text,master_itemcode,master_itemname,pair_label,pair_label_status,target_action_id,target_action,resolution_scope,use_for_binary_pair_training,use_for_router_training,label_confidence,label_provenance,model_bucket,audit_status,error_type,severity,audit_reason,retailer,price_text,product_class_offer,product_class_master,variant_offer,variant_master,offer_weights_g,master_weights_g,protein_match,family_match,sub_brand_match,spice_match,size_match,word_similarity,character_similarity,token_similarity,recommended_split,split_group,notes,occurrence_count,needs_human_label
RL001477,CLICKFLYER_DUMP_AUTOLABEL,RL001477,Al Kabeer Chicken Fries (1000g),CKPCDA,CHICKEN POP-CORN 750 GMS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['zing']; pack weight: offer 1000g vs SKU 750g,Hyper Panda,,,,,,,,,,,,,,,,train,al kabeer chicken fries 1000g,auto-labelled from ClickFlyer dump against Product_Master,2,0
RL001478,CLICKFLYER_DUMP_AUTOLABEL,RL001478,Al Kabeer Chicken Fries (1000g),CCF,CHICKEN FRIES,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 400g,Hyper Panda,,,,,,,,,,,,,,,,train,al kabeer chicken fries 1000g,auto-labelled from ClickFlyer dump against Product_Master,2,0
RL001479,CLICKFLYER_DUMP_AUTOLABEL,RL001479,Al Kabeer Chicken Fries (1000g),CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 300g,Hyper Panda,,,,,,,,,,,,,,,,train,al kabeer chicken fries 1000g,auto-labelled from ClickFlyer dump against Product_Master,2,0
RL001476,CLICKFLYER_DUMP_AUTOLABEL,RL001476,Al Kabeer Chicken Fries (1000g),CKPC,CHICKEN POP-CORN,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['zing']; pack weight: offer 1000g vs SKU 400g,Hyper Panda,,,,,,,,,,,,,,,,train,al kabeer chicken fries 1000g,auto-labelled from ClickFlyer dump against Product_Master,2,0
RL001528,CLICKFLYER_DUMP_AUTOLABEL,RL001528,Al Kabeer Popcorn Chicken 2 x 400 gm ,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 400g vs SKU 300g,Nesto,,,,,,,,,,,,,,,,train,al kabeer popcorn chicken 2 x 400 gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001527,CLICKFLYER_DUMP_AUTOLABEL,RL001527,Al Kabeer Popcorn Chicken 2 x 400 gm ,CCFA,CHICKEN FRIES BULK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 400g vs SKU 1000g,Nesto,,,,,,,,,,,,,,,,train,al kabeer popcorn chicken 2 x 400 gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001432,CLICKFLYER_DUMP_AUTOLABEL,RL001432,Al Kabeer Chicken Lollipop Zing 1 kg,CKZL,ZING CHICKEN LOLLIPOP 420,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 420g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer chicken lollipop zing 1 kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001425,CLICKFLYER_DUMP_AUTOLABEL,RL001425,Al Kabeer Chicken Breast Tender 1Kg,CKTCB,TENDER CHICKEN BREAST TRAY PACK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 450g,Carrefour Hyper,,,,,,,,,,,,,,,,validation,al kabeer chicken breast tender 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001424,CLICKFLYER_DUMP_AUTOLABEL,RL001424,Al Kabeer Chicken Breast Tender 1Kg,CKMCBA,TENDER CHICKEN BREAST SPICY FLAVOURED,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 2000g,Carrefour Hyper,,,,,,,,,,,,,,,,validation,al kabeer chicken breast tender 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001423,CLICKFLYER_DUMP_AUTOLABEL,RL001423,Al Kabeer Chicken Breast Tender 1Kg,CKCMF,CHICKEN MINCE (15% FREE ),0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 60g,Carrefour Hyper,,,,,,,,,,,,,,,,validation,al kabeer chicken breast tender 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001422,CLICKFLYER_DUMP_AUTOLABEL,RL001422,Al Kabeer Chicken Breast Tender 1Kg,CKCM,CHICKEN MINCE 400,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 400g,Carrefour Hyper,,,,,,,,,,,,,,,,validation,al kabeer chicken breast tender 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001438,CLICKFLYER_DUMP_AUTOLABEL,RL001438,AL KABEER CHICKEN POPCORN 1000GR,CCFA,CHICKEN FRIES BULK,1.0,positive,,MATCH_EXACT,single_exact_sku,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,positive,,only master SKU in this family compatible with all stated attributes,Farm,,,,,,,,,,,,,,,,train,al kabeer chicken popcorn 1000gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001439,CLICKFLYER_DUMP_AUTOLABEL,RL001439,AL KABEER CHICKEN POPCORN 1000GR,CKPC,CHICKEN POP-CORN,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['zing']; pack weight: offer 1000g vs SKU 400g,Farm,,,,,,,,,,,,,,,,train,al kabeer chicken popcorn 1000gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001441,CLICKFLYER_DUMP_AUTOLABEL,RL001441,AL KABEER CHICKEN POPCORN 1000GR,CCF,CHICKEN FRIES,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 400g,Farm,,,,,,,,,,,,,,,,train,al kabeer chicken popcorn 1000gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001464,CLICKFLYER_DUMP_AUTOLABEL,RL001464,Al Kabeer Zing Chicken Strips Spicy 320gm,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_spice,,spice: offer ['spicy'] vs SKU ['nonspicy']; pack weight: offer 320g vs SKU 750g,Union Coop,,,,,,,,,,,,,,,,train,al kabeer zing chicken strips spicy 320gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001463,CLICKFLYER_DUMP_AUTOLABEL,RL001463,Al Kabeer Zing Chicken Strips Spicy 320gm,CKZSNSAPR,AK PRO Zing Chicken Strips Non Spicy 1 kg x 10,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,"sub-brand: offer ['zing'] vs SKU ['akpro', 'zing']; spice: offer ['spicy'] vs SKU ['nonspicy']; pack weight: offer 320g vs SKU 1000g",Union Coop,,,,,,,,,,,,,,,,train,al kabeer zing chicken strips spicy 320gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001462,CLICKFLYER_DUMP_AUTOLABEL,RL001462,Al Kabeer Zing Chicken Strips Spicy 320gm,CKSTY,TAYEBAT BREADED CHICKEN STRIPS NON SPICY 1 kg x 10 Pkts,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU ['tayebat']; spice: offer ['spicy'] vs SKU ['nonspicy']; pack weight: offer 320g vs SKU 1000g,Union Coop,,,,,,,,,,,,,,,,train,al kabeer zing chicken strips spicy 320gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001461,CLICKFLYER_DUMP_AUTOLABEL,RL001461,Al Kabeer Zing Chicken Strips Spicy 320gm,CKPSAPR,AK PRO Plain Chicken Strips 30 g. 1 kg x 10,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU ['akpro']; spice: offer ['spicy'] vs SKU ['nonspicy']; pack weight: offer 320g vs SKU 1000g,Union Coop,,,,,,,,,,,,,,,,train,al kabeer zing chicken strips spicy 320gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001442,CLICKFLYER_DUMP_AUTOLABEL,RL001442,AL KABEER CHICKEN POPCORN 1000GR,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 300g,Farm,,,,,,,,,,,,,,,,train,al kabeer chicken popcorn 1000gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001444,CLICKFLYER_DUMP_AUTOLABEL,RL001444,AL KABEER BREADED SHRIMPS 250G,CSPCAPR,AK PRO JUMBO PRAWN CRISPIES,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['akpro']; pack weight: offer 250g vs SKU 1000g,Aljazera Markets,,,,,,,,,,,,,,,,train,al kabeer breaded shrimps 250g,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001445,CLICKFLYER_DUMP_AUTOLABEL,RL001445,AL KABEER BREADED SHRIMPS 250G,CZSB,Zing Shrimps,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['zing']; pack weight: offer 250g vs SKU 750g,Aljazera Markets,,,,,,,,,,,,,,,,train,al kabeer breaded shrimps 250g,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001446,CLICKFLYER_DUMP_AUTOLABEL,RL001446,AL KABEER BREADED SHRIMPS 250G,CSBA,BREADED SHRIMPS BULK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 250g vs SKU 1000g,Aljazera Markets,,,,,,,,,,,,,,,,train,al kabeer breaded shrimps 250g,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001447,CLICKFLYER_DUMP_AUTOLABEL,RL001447,AL KABEER BREADED SHRIMPS 250G,CSJ,JUMBO PRAWNS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 250g vs SKU 454g,Aljazera Markets,,,,,,,,,,,,,,,,train,al kabeer breaded shrimps 250g,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001440,CLICKFLYER_DUMP_AUTOLABEL,RL001440,AL KABEER CHICKEN POPCORN 1000GR,CKPCDA,CHICKEN POP-CORN 750 GMS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['zing']; pack weight: offer 1000g vs SKU 750g,Farm,,,,,,,,,,,,,,,,train,al kabeer chicken popcorn 1000gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001449,CLICKFLYER_DUMP_AUTOLABEL,RL001449,Zing Chicken Lollypop Cratering 1kg,CKZL,ZING CHICKEN LOLLIPOP 420,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 420g,Manuel Market,,,,,,,,,,,,,,,,train,zing chicken lollypop cratering 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001637,CLICKFLYER_DUMP_AUTOLABEL,RL001637,AL KABEER ZING CHICKEN LOLIPOP BULK 1KG ,CKZL,ZING CHICKEN LOLLIPOP 420,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 420g,Abraj Hypermarket,,,,,,,,,,,,,,,,train,al kabeer zing chicken lolipop bulk 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001627,CLICKFLYER_DUMP_AUTOLABEL,RL001627,Al kabeer breaded Zing chicken nuggets 750gm,CKCCN,CHICKEN  N CHEESE NUGGETS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Matajer AlSaudia,,,,,,,,,,,,,,,,validation,al kabeer breaded zing chicken nuggets 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001628,CLICKFLYER_DUMP_AUTOLABEL,RL001628,Al kabeer breaded Zing chicken nuggets 750gm,CKJCNA,JUMBO CHICKEN NUGGETS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 1000g,Matajer AlSaudia,,,,,,,,,,,,,,,,validation,al kabeer breaded zing chicken nuggets 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001629,CLICKFLYER_DUMP_AUTOLABEL,RL001629,Al kabeer breaded Zing chicken nuggets 750gm,CKN,CHICKEN NUGGETS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 270g,Matajer AlSaudia,,,,,,,,,,,,,,,,validation,al kabeer breaded zing chicken nuggets 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001630,CLICKFLYER_DUMP_AUTOLABEL,RL001630,Al kabeer breaded Zing chicken nuggets 750gm,CKN400,CHICKEN NUGGETS (400G),0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Matajer AlSaudia,,,,,,,,,,,,,,,,validation,al kabeer breaded zing chicken nuggets 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001682,CLICKFLYER_DUMP_AUTOLABEL,RL001682,Alkabeer Zing Chicken Nuggest 750gm,CKN400,CHICKEN NUGGETS (400G),0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Danube,,,,,,,,,,,,,,,,train,alkabeer zing chicken nuggest 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001681,CLICKFLYER_DUMP_AUTOLABEL,RL001681,Alkabeer Zing Chicken Nuggest 750gm,CKN,CHICKEN NUGGETS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 270g,Danube,,,,,,,,,,,,,,,,train,alkabeer zing chicken nuggest 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001680,CLICKFLYER_DUMP_AUTOLABEL,RL001680,Alkabeer Zing Chicken Nuggest 750gm,CKJCNA,JUMBO CHICKEN NUGGETS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 1000g,Danube,,,,,,,,,,,,,,,,train,alkabeer zing chicken nuggest 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001679,CLICKFLYER_DUMP_AUTOLABEL,RL001679,Alkabeer Zing Chicken Nuggest 750gm,CKCCN,CHICKEN  N CHEESE NUGGETS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Danube,,,,,,,,,,,,,,,,train,alkabeer zing chicken nuggest 750gm,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001573,CLICKFLYER_DUMP_AUTOLABEL,RL001573,ALKABEER SHRIMP BREADED 250 GR,CSJ,JUMBO PRAWNS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 250g vs SKU 454g,Farm,,,,,,,,,,,,,,,,train,alkabeer shrimp breaded 250 gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001572,CLICKFLYER_DUMP_AUTOLABEL,RL001572,ALKABEER SHRIMP BREADED 250 GR,CSBA,BREADED SHRIMPS BULK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 250g vs SKU 1000g,Farm,,,,,,,,,,,,,,,,train,alkabeer shrimp breaded 250 gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001571,CLICKFLYER_DUMP_AUTOLABEL,RL001571,ALKABEER SHRIMP BREADED 250 GR,CZSB,Zing Shrimps,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['zing']; pack weight: offer 250g vs SKU 750g,Farm,,,,,,,,,,,,,,,,train,alkabeer shrimp breaded 250 gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001570,CLICKFLYER_DUMP_AUTOLABEL,RL001570,ALKABEER SHRIMP BREADED 250 GR,CSPCAPR,AK PRO JUMBO PRAWN CRISPIES,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer none vs SKU ['akpro']; pack weight: offer 250g vs SKU 1000g,Farm,,,,,,,,,,,,,,,,train,alkabeer shrimp breaded 250 gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001569,CLICKFLYER_DUMP_AUTOLABEL,RL001569,ALKABEER SHRIMP BREADED 250 GR,CSB,BREADED SHRIMPS 250,1.0,positive,,MATCH_EXACT,single_exact_sku,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,positive,,only master SKU in this family compatible with all stated attributes,Farm,,,,,,,,,,,,,,,,train,alkabeer shrimp breaded 250 gr,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001595,CLICKFLYER_DUMP_AUTOLABEL,RL001595,Al Kabeer Zing Chicken Lollipop cratering 1kg ,CKZL,ZING CHICKEN LOLLIPOP 420,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 420g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer zing chicken lollipop cratering 1kg,auto-labelled from ClickFlyer dump against Product_Master,2,0
RL001226,CLICKFLYER_DUMP_AUTOLABEL,RL001226,ALKABEER CHICKEN POPCORN 400GR,CCF,CHICKEN FRIES,1.0,positive,,MATCH_EXACT,single_exact_sku,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,positive,,only master SKU in this family compatible with all stated attributes,Farm,,,,,,,,,,,,,,,,train,alkabeer chicken popcorn 400gr,auto-labelled from ClickFlyer dump against Product_Master,2,0
RL001225,CLICKFLYER_DUMP_AUTOLABEL,RL001225,AL KABEER ZING SHRIMPS SPICY 750GR,CSL,PRAWNS LARGE 400,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Farm,,,,,,,,,,,,,,,,train,al kabeer zing shrimps spicy 750gr,auto-labelled from ClickFlyer dump against Product_Master,5,0
