dump_offer_id,dump_product,dump_product_field,dump_variant,offer_type,expected_match_count,primary_protein,mentioned_proteins,is_mixed_protein_offer,mentioned_product_families,is_multi_family_offer,contains_non_meat_product,dump_spice_variant,unit_pack_weight_g,number_of_units,bonus_weight_g,total_offer_weight_g,piece_count,pack_structure,master_itemcode,master_itemname,master_item_spec,master_unit_weight_g,master_units_per_carton,protein_match,family_match,variant_match,size_match,pack_format_match,word_similarity,character_similarity,token_similarity,match_score,label,label_status,training_eligible,pair_type,match_status,label_source,review_status
D0003,Al Kabeer Chicken /Beef Burger 200 gm,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,200.0,1.0,,200.0,,single_pack,VCB10A,BONELESS CHICKEN BREAST 10,2 kg x 5 Pkts,2000.0,5.0,1,0,1,0,1,46.8,42.6,50.9,48.9,0,confirmed_negative,1,hard_negative_type,requires_business_review,rule_generated,needs_review
D0003,Al Kabeer Chicken /Beef Burger 200 gm,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,200.0,1.0,,200.0,,single_pack,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,330.0,20.0,0,0,1,0,1,35.8,34.1,35.0,35.4,0,confirmed_negative,1,easy_negative,requires_business_review,rule_generated,needs_review
D0008,Al Kabeer Beef Franks 454gm,Beef Franks-Frozen,No Variant,single_product,1,beef,beef,0,hotdog,0,0,unspecified,454.0,1.0,,454.0,,single_pack,CFB,BEEF FRANKS,454 Gms x 20 Pkts,454.0,20.0,1,1,1,1,1,63.6,56.8,59.2,61.4,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0008,Al Kabeer Beef Franks 454gm,Beef Franks-Frozen,No Variant,single_product,1,beef,beef,0,hotdog,0,0,unspecified,454.0,1.0,,454.0,,single_pack,CVFAG,FELAFEL GREEN BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,1,1,0,1,43.2,37.8,42.4,42.8,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0008,Al Kabeer Beef Franks 454gm,Beef Franks-Frozen,No Variant,single_product,1,beef,beef,0,hotdog,0,0,unspecified,454.0,1.0,,454.0,,single_pack,VFDC,Chicken Frank 340 G  x 24,340 gm x 24 Pkts,340.0,24.0,0,1,1,0,1,40.7,36.5,40.5,40.6,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0008,Al Kabeer Beef Franks 454gm,Beef Franks-Frozen,No Variant,single_product,1,beef,beef,0,hotdog,0,0,unspecified,454.0,1.0,,454.0,,single_pack,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,320.0,24.0,1,0,1,0,1,46.5,40.4,50.0,48.2,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0008,Al Kabeer Beef Franks 454gm,Beef Franks-Frozen,No Variant,single_product,1,beef,beef,0,hotdog,0,0,unspecified,454.0,1.0,,454.0,,single_pack,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,270.0,20.0,0,0,1,0,1,26.4,33.1,27.5,27.0,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0009,Alkabeer Seekh Beef Kebab 320 Gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,320.0,1.0,,320.0,,single_pack,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,320.0,24.0,1,1,1,1,1,65.4,57.7,72.5,68.9,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0009,Alkabeer Seekh Beef Kebab 320 Gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,320.0,1.0,,320.0,,single_pack,CTBK,TURKISH BEEF KEBABS 360,360GM X 20 PKT,360.0,20.0,1,1,1,0,1,55.9,54.1,62.8,59.3,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0009,Alkabeer Seekh Beef Kebab 320 Gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,320.0,1.0,,320.0,,single_pack,CKCS,8 CHICKEN SEEKH KEBAB,320 Gms x 24 Pkts,320.0,24.0,0,1,1,1,1,50.9,50.9,62.7,56.8,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0009,Alkabeer Seekh Beef Kebab 320 Gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,320.0,1.0,,320.0,,single_pack,CFB,BEEF FRANKS,454 Gms x 20 Pkts,454.0,20.0,1,0,1,0,1,47.3,45.2,48.2,47.8,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0009,Alkabeer Seekh Beef Kebab 320 Gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,320.0,1.0,,320.0,,single_pack,CKJCNA,JUMBO CHICKEN NUGGETS,1 Kgs x 5 Pkts,1000.0,5.0,0,0,1,0,1,33.0,31.2,34.1,33.6,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0010,Al Kabeer Turkish Beef Kebabs 360gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,360.0,1.0,,360.0,,single_pack,CTBK,TURKISH BEEF KEBABS 360,360GM X 20 PKT,360.0,20.0,1,1,1,1,1,71.9,61.4,70.7,71.3,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0010,Al Kabeer Turkish Beef Kebabs 360gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,360.0,1.0,,360.0,,single_pack,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,320.0,24.0,1,1,1,0,1,59.8,52.3,55.3,57.5,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0010,Al Kabeer Turkish Beef Kebabs 360gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,360.0,1.0,,360.0,,single_pack,CKTCK,TURKISH CHICKEN KEBAB,360gms x 20 Pkts,360.0,20.0,0,1,1,1,1,53.6,53.6,56.4,55.0,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0010,Al Kabeer Turkish Beef Kebabs 360gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,360.0,1.0,,360.0,,single_pack,CBBOA,BEEF BURGERS BULK,2 Kgs x 5 Pkts,2000.0,5.0,1,0,1,0,1,48.1,42.3,50.7,49.4,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0010,Al Kabeer Turkish Beef Kebabs 360gm,Beef Kebabs-Frozen,No Variant,single_product,1,beef,beef,0,kebab,0,0,unspecified,360.0,1.0,,360.0,,single_pack,CKCCSHA,CHICKEN & CHEESE STICKS SPICY BULK,1 kg x 5 Pkts,1000.0,5.0,0,0,1,0,1,34.2,30.1,37.9,36.1,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0011,Al Kabeer Beef Kibbeh 400gm,Beef Kibbeh-Frozen,No Variant,single_product,1,beef,beef,0,kibbeh,0,0,unspecified,400.0,1.0,,400.0,,single_pack,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,400.0,12.0,1,1,1,1,1,59.3,50.0,57.9,58.6,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0011,Al Kabeer Beef Kibbeh 400gm,Beef Kibbeh-Frozen,No Variant,single_product,1,beef,beef,0,kibbeh,0,0,unspecified,400.0,1.0,,400.0,,single_pack,CMBAKAPR,AK PRO Beef Meat Balls 1 kg x 10,1 kg x 10,1000.0,10.0,1,1,1,0,1,37.1,32.3,47.6,42.4,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0011,Al Kabeer Beef Kibbeh 400gm,Beef Kibbeh-Frozen,No Variant,single_product,1,beef,beef,0,kibbeh,0,0,unspecified,400.0,1.0,,400.0,,single_pack,CKK,CHICKEN KIBBEH 400,400 Gms x 12 Pkts,400.0,12.0,0,1,1,1,1,45.6,43.9,46.0,45.8,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0011,Al Kabeer Beef Kibbeh 400gm,Beef Kibbeh-Frozen,No Variant,single_product,1,beef,beef,0,kibbeh,0,0,unspecified,400.0,1.0,,400.0,,single_pack,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,320.0,24.0,1,0,1,0,1,52.5,44.4,52.9,52.7,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0011,Al Kabeer Beef Kibbeh 400gm,Beef Kibbeh-Frozen,No Variant,single_product,1,beef,beef,0,kibbeh,0,0,unspecified,400.0,1.0,,400.0,,single_pack,CKCCNS,CHICKEN & CHEESE STICKS HOT & SPICY,250 gm x 20 Pkts,250.0,20.0,0,0,1,0,1,25.2,23.8,26.7,25.9,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0013,Al Kabeer Blackberries/Blueberries 350 gm,Blueberries-Frozen,No Variant,single_product,1,,,0,,0,0,unspecified,350.0,1.0,,350.0,,single_pack,VBBD,BLACKBERRIES 350GM,350 gms x 20,350.0,20.0,1,1,1,1,1,58.3,48.3,52.3,55.3,-1,unresolved,0,unresolved_near_tie,no_exact_master_sku,rule_generated,needs_review
D0013,Al Kabeer Blackberries/Blueberries 350 gm,Blueberries-Frozen,No Variant,single_product,1,,,0,,0,0,unspecified,350.0,1.0,,350.0,,single_pack,VBLUD,BLUEBERRIES 350GM,350 gms x 20,350.0,20.0,1,1,1,1,1,57.6,49.2,52.8,55.2,-1,unresolved,0,unresolved_near_tie,no_exact_master_sku,rule_generated,needs_review
D0013,Al Kabeer Blackberries/Blueberries 350 gm,Blueberries-Frozen,No Variant,single_product,1,,,0,,0,0,unspecified,350.0,1.0,,350.0,,single_pack,VBLU,BLUEBERRY,400 gms x 20,400.0,20.0,1,1,1,0,1,51.0,43.1,51.0,51.0,0,confirmed_negative,1,hard_negative_pack_size,no_exact_master_sku,rule_generated,needs_review
D0019,Al Kabeer Breaded Fish Fillet 1 Kilo,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CFBFA,BREADED FISH FILLET BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,1,1,1,1,69.3,67.7,69.1,69.2,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0019,Al Kabeer Breaded Fish Fillet 1 Kilo,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,330.0,20.0,1,1,1,0,1,71.7,70.0,69.1,70.4,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0019,Al Kabeer Breaded Fish Fillet 1 Kilo,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CKBCF,BREADED CHICKEN FILLETS,450 Gms x 12 Pkts,450.0,12.0,0,1,1,0,1,62.5,56.2,57.1,59.8,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0019,Al Kabeer Breaded Fish Fillet 1 Kilo,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CFSA,FISH STICKS BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,0,1,1,1,41.7,35.0,44.4,43.1,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0019,Al Kabeer Breaded Fish Fillet 1 Kilo,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CKBBAD,Breaded Chicken Burger Bag (56 g.),840 g. x 9,840.0,,0,0,1,0,1,42.0,36.4,39.1,40.5,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0020,Al Kabeer Breaded Fish Fillets 330 gm,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,330.0,1.0,,330.0,,single_pack,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,330.0,20.0,1,1,1,1,1,77.7,66.1,76.1,76.9,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0020,Al Kabeer Breaded Fish Fillets 330 gm,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,330.0,1.0,,330.0,,single_pack,CFBFA,BREADED FISH FILLET BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,1,1,0,1,70.3,64.1,76.1,73.2,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0020,Al Kabeer Breaded Fish Fillets 330 gm,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,330.0,1.0,,330.0,,single_pack,CKBCF,BREADED CHICKEN FILLETS,450 Gms x 12 Pkts,450.0,12.0,0,1,1,0,1,62.0,55.8,65.2,63.6,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0020,Al Kabeer Breaded Fish Fillets 330 gm,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,330.0,1.0,,330.0,,single_pack,CFS,FISH FINGERS 300,300 Gms x 20 Pkts,300.0,20.0,1,0,1,1,1,48.4,41.9,40.0,44.2,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0020,Al Kabeer Breaded Fish Fillets 330 gm,Breaded Fish Fillet,No Variant,single_product,1,fish,fish,0,fillet,0,0,unspecified,330.0,1.0,,330.0,,single_pack,CMSA,12 MUTTON SAMOSAS,240 Gms x 20 Pkts,240.0,20.0,0,0,1,0,1,25.9,27.6,28.0,26.9,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0021,Al Kabeer Breeded Chicken Fillet 750 gm,Breaded Fish Fillet,No Variant,single_product,1,,chicken|fish,1,fillet,0,0,unspecified,750.0,1.0,,750.0,,single_pack,CKBCFHDA,BREADED CHICKEN FILLET SPICY 750 GMS,750 GMS X 8 PKT,750.0,8.0,1,1,1,1,1,64.5,58.1,66.7,65.6,-1,unresolved,0,unresolved_near_tie,no_exact_master_sku,rule_generated,needs_review
D0021,Al Kabeer Breeded Chicken Fillet 750 gm,Breaded Fish Fillet,No Variant,single_product,1,,chicken|fish,1,fillet,0,0,unspecified,750.0,1.0,,750.0,,single_pack,CKBCFNSA,BREADED CHICKEN FILLET NON-SPICY 750 GMS,750 GMS X 8 PKT,750.0,8.0,1,1,1,1,1,61.3,55.2,66.7,64.0,-1,unresolved,0,unresolved_near_tie,no_exact_master_sku,rule_generated,needs_review
D0021,Al Kabeer Breeded Chicken Fillet 750 gm,Breaded Fish Fillet,No Variant,single_product,1,,chicken|fish,1,fillet,0,0,unspecified,750.0,1.0,,750.0,,single_pack,CKBCF,BREADED CHICKEN FILLETS,450 Gms x 12 Pkts,450.0,12.0,1,1,1,0,1,70.2,59.5,64.0,67.1,0,confirmed_negative,1,hard_negative_pack_size,no_exact_master_sku,rule_generated,needs_review
D0021,Al Kabeer Breeded Chicken Fillet 750 gm,Breaded Fish Fillet,No Variant,single_product,1,,chicken|fish,1,fillet,0,0,unspecified,750.0,1.0,,750.0,,single_pack,BF,BEEF TENDERLOIN/FILLET,20 KGS,20000.0,,0,1,1,0,1,39.7,47.6,38.6,39.1,0,confirmed_negative,1,hard_negative_protein,no_exact_master_sku,rule_generated,needs_review
D0021,Al Kabeer Breeded Chicken Fillet 750 gm,Breaded Fish Fillet,No Variant,single_product,1,,chicken|fish,1,fillet,0,0,unspecified,750.0,1.0,,750.0,,single_pack,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,400.0,12.0,1,0,1,0,1,47.4,47.4,56.9,52.1,0,confirmed_negative,1,hard_negative_type,no_exact_master_sku,rule_generated,needs_review
D0021,Al Kabeer Breeded Chicken Fillet 750 gm,Breaded Fish Fillet,No Variant,single_product,1,,chicken|fish,1,fillet,0,0,unspecified,750.0,1.0,,750.0,,single_pack,CBBG100,CHAR.JUMBO BEEF BURGERS BULK(100G)6*1 KG,1KG X 6,1000.0,6.0,0,0,1,0,1,28.4,31.0,29.4,28.9,0,confirmed_negative,1,easy_negative,no_exact_master_sku,rule_generated,needs_review
D0022,Al Kabeer Breaded Shrimps 1000 gm,Breaded shrimp frozen,No Variant,single_product,1,fish,fish,0,,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CSBA,BREADED SHRIMPS BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,1,1,1,1,60.8,54.4,59.4,60.1,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0022,Al Kabeer Breaded Shrimps 1000 gm,Breaded shrimp frozen,No Variant,single_product,1,fish,fish,0,,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CSB,BREADED SHRIMPS 250,250 Gms x 20 Pkts,250.0,20.0,1,1,1,0,1,65.1,55.6,60.8,62.9,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0022,Al Kabeer Breaded Shrimps 1000 gm,Breaded shrimp frozen,No Variant,single_product,1,fish,fish,0,,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,400.0,12.0,0,1,1,0,1,55.0,42.7,49.5,52.2,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0023,Al Kabeer Breaded Shrimps 250 gm,Breaded shrimp frozen,No Variant,single_product,1,fish,fish,0,,0,0,unspecified,250.0,1.0,,250.0,,single_pack,CSB,BREADED SHRIMPS 250,250 Gms x 20 Pkts,250.0,20.0,1,1,1,1,1,67.2,59.2,65.3,66.3,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0023,Al Kabeer Breaded Shrimps 250 gm,Breaded shrimp frozen,No Variant,single_product,1,fish,fish,0,,0,0,unspecified,250.0,1.0,,250.0,,single_pack,CSBA,BREADED SHRIMPS BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,1,1,0,1,62.9,54.8,62.0,62.5,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0023,Al Kabeer Breaded Shrimps 250 gm,Breaded shrimp frozen,No Variant,single_product,1,fish,fish,0,,0,0,unspecified,250.0,1.0,,250.0,,single_pack,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,400.0,12.0,0,1,1,0,1,55.4,43.1,50.0,52.7,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0024,Al Kabeer Zing Fish Fillets (750 gm),Breaded shrimp frozen,Spicy,single_product,1,fish,fish,0,fillet,0,0,spicy,750.0,1.0,,750.0,,single_pack,CFZFB,ZING FISH FILLETS MILD SPICY,750 g. x 8,750.0,,1,1,1,1,1,53.2,47.5,68.7,60.9,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0024,Al Kabeer Zing Fish Fillets (750 gm),Breaded shrimp frozen,Spicy,single_product,1,fish,fish,0,fillet,0,0,spicy,750.0,1.0,,750.0,,single_pack,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,330.0,20.0,1,1,1,0,1,51.6,51.6,59.1,55.3,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0024,Al Kabeer Zing Fish Fillets (750 gm),Breaded shrimp frozen,Spicy,single_product,1,fish,fish,0,fillet,0,0,spicy,750.0,1.0,,750.0,,single_pack,CKZFDA,ZING CHICKEN FILLETS SPICY 750 GRM,750 GMS X 8 PKT,750.0,8.0,0,1,1,1,1,53.8,44.9,61.5,57.7,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0024,Al Kabeer Zing Fish Fillets (750 gm),Breaded shrimp frozen,Spicy,single_product,1,fish,fish,0,fillet,0,0,spicy,750.0,1.0,,750.0,,single_pack,CFSA,FISH STICKS BULK,1 Kgs x 5 Pkts,1000.0,5.0,1,0,1,0,1,46.9,34.4,45.9,46.4,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0024,Al Kabeer Zing Fish Fillets (750 gm),Breaded shrimp frozen,Spicy,single_product,1,fish,fish,0,fillet,0,0,spicy,750.0,1.0,,750.0,,single_pack,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,(750 g.+750 g.) x 4,750.0,,0,0,0,1,1,32.8,31.8,44.8,38.8,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0025,Al Kabeer Mozzarella Cheese Sticks 1 kg,Cheese Stick/Nuggets-Frozen,No Variant,single_product,1,,,0,cheese_stick|nuggets,1,1,unspecified,1000.0,1.0,,1000.0,,single_pack,CCMSA,MOZZARELLA CHEESE STICKS,1000G X 5 Pkts,1000.0,5.0,1,1,1,1,1,64.3,61.4,70.4,67.3,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0025,Al Kabeer Mozzarella Cheese Sticks 1 kg,Cheese Stick/Nuggets-Frozen,No Variant,single_product,1,,,0,cheese_stick|nuggets,1,1,unspecified,1000.0,1.0,,1000.0,,single_pack,CCMS,MOZZERELLA CHEESE STICKS,250 GMS X24 PKTS,250.0,24.0,1,1,1,0,1,63.4,59.2,65.5,64.4,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
