dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
53,15737244,Al Kabeer Chicken Nuggets Bulk 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,52.76,43.4,85.5,conflict,0.19,,manual_required
92,15746578,Al Kabeer Punjabi Samosa 900g,Al Kabeer,Samosa-Frozen,Punjabi,"Frozen Pizzas, Wraps, Sandwiches",900 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,53.89,46.6,85.5,conflict,0.67,,manual_required
93,15747051,Kabeer Nuggets 750gm/ Breaded Chicken Fillet 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,54.08,47.14,85.5,conflict,0.3,,manual_required
94,15747051,Kabeer Nuggets 750gm/ Breaded Chicken Fillet 750gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,53.66,45.95,85.5,conflict,0.34,,manual_required
99,15747645,Al Kabeer Zing Chicken Strips Non-Spicy 750gm + Chicken Nuggets 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.58,48.6,85.5,conflict,0.9,,manual_required
105,15763662,Al Kabeer Zing Chicken Popcorn/ Fillets/Strips 750gm,Al Kabeer,Chicken Popcorn-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.66,48.82,85.5,conflict,1.16,,manual_required
106,15763662,Al Kabeer Zing Chicken Popcorn/ Fillets/Strips 750gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,52.87,43.7,85.5,conflict,0.56,,manual_required
107,15763662,Al Kabeer Zing Chicken Popcorn/ Fillets/Strips 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKBW,BBQ CHICKEN WINGS 400,400 Gms x 12 Pkts,WINGS,53.52,45.54,85.5,conflict,0.65,,manual_required
108,15764095,Al Kabeer Zing Chicken Strips /Fillets Non Spicy 750 gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,53.0,44.07,85.5,conflict,1.18,,manual_required
109,15764095,Al Kabeer Zing Chicken Strips /Fillets Non Spicy 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,53.0,44.07,85.5,conflict,1.18,,manual_required
113,15785524,Al Kabeer Zing Strips Non Spicy 750g + Chicken Nuggets 750g Free,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.27,47.71,85.5,conflict,0.87,,manual_required
114,15788674,Al Kabeer Zink Chicken Strips Non Spicy 750g,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKSAA,CHICKEN SAMOSAS BULK,1.2 Kgs x 4 Pkts,SAMOSA,52.91,43.81,85.5,conflict,1.47,,manual_required
118,15804425,Al Kabeer krazee Chicken nuggets 750gm ,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.41,42.37,85.5,conflict,0.06,,manual_required
137,15807357,Al Kabeer Stuffed Felafel 750gm,Al Kabeer,Falafel-Frozen,Stuffed,"Frozen Pizzas, Wraps, Sandwiches",750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,51.58,40.0,85.5,conflict,1.22,,manual_required
147,15822813,AL KABER CHICKEN NUGGETS 750 GM + AL KABEER SAMOSA 240 GM ,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCF,CHICKEN FRIES,12 PKTS X 400 GRM,POP-CORN & CHICKEN FRIES,54.4,48.06,85.5,conflict,0.67,,manual_required
151,15822817,ALKABEER ZING CHICKEN FILLETS NON-SPICY 750GM + BREADED CHICKEN FILLETS 750GM,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.43,48.15,85.5,conflict,0.13,,manual_required
153,15822821,ALKABEER FRENCH FRIES 2500GM,Al Kabeer,French Fries-Frozen,No Variant,Frozen Fries & Onion Rings,2.5 kg,1,CKKB24,24 CHICKEN BURGERS,1.2 Kgs x 8 Pkts,BURGERS,52.13,41.58,85.5,conflict,0.28,,manual_required
162,15830921,Al Kabeer Krazee Chicken Nuggets 750 gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.18,41.74,85.5,conflict,0.05,,manual_required
175,15836797,Al Kabeer Krazee Chicken Nuggets 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.41,42.37,85.5,conflict,0.06,,manual_required
178,15840422,Al Kabeer Kraze Chicken Nugets 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CKBCS,BEEF COCKTAIL SAUSAGES,400 Gms x 20 Pkts,SAUSAGES,52.58,42.86,85.5,conflict,0.32,,manual_required
182,15840985,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
186,15851450,Al Kabeer Chicken Nuggets 1000g,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,1 kg,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.31,42.11,85.5,conflict,0.1,,manual_required
189,15862060,Al kabeer Chicken Pop Corn 750gm,Al Kabeer,Chicken Popcorn-Frozen,No Variant,Marinated & Breaded,750 gm,1,CKCKB,CHICKEN BURGERS 56 g,840 g. x 9,BURGERS,51.89,40.91,85.5,conflict,0.44,,manual_required
204,15878402,Al Kabeer Zing Strips Non Spicy 750g + Chicken Nuggets 750g Free,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.27,47.71,85.5,conflict,0.87,,manual_required
206,15884843,Al Kabeer Zing Chicken Strips Non Spicy 750gm + Chicken Nuggets 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.58,48.6,85.5,conflict,0.9,,manual_required
207,15893471,Al Kabeer Zing Chicken Strips/Fillet 750gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKSAA,CHICKEN SAMOSAS BULK,1.2 Kgs x 4 Pkts,SAMOSA,53.13,44.44,85.5,conflict,0.07,,manual_required
208,15893471,Al Kabeer Zing Chicken Strips/Fillet 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,53.96,46.81,85.5,conflict,0.34,,manual_required
219,15906729,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
223,15921963,Al Kabeer FRENCH FRIES 1000 GM,Al Kabeer,French Fries-Frozen,No Variant,Frozen Fries & Onion Rings,1 kg,1,CCSAKPR,A.K PRO CHEESE SAMOSA,4 X 1.2 KGS,SAMOSA,52.13,41.58,85.5,conflict,0.41,,manual_required
227,15921971,ALKABEER TENDER CHICKEN BREAST 1000GM,Al Kabeer,Chicken Breast-Frozen,No Variant,Frozen Chicken Parts,1000 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,52.58,42.86,85.5,conflict,0.19,,manual_required
236,15928415,"AL KABEER CHICKEN NUGGETS OR BREADED FILLET, 750 GRAMS",Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,53.96,46.81,85.5,conflict,0.32,,manual_required
237,15928415,"AL KABEER CHICKEN NUGGETS OR BREADED FILLET, 750 GRAMS",Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,54.42,48.12,85.5,conflict,0.26,,manual_required
257,15935003,Al Kabeer Zing Chicken Strips/ Nuggets (750gm),Al Kabeer,Chicken Nuggets-Frozen,No Variant,Zing,750 gm,1,CKSAPR,AK PRO CHICKEN SAMOSA,4 X 1.2 KGS,SAMOSA,53.45,45.36,85.5,conflict,0.63,,manual_required
258,15935003,Al Kabeer Zing Chicken Strips/ Nuggets (750gm),Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKSAPR,AK PRO CHICKEN SAMOSA,4 X 1.2 KGS,SAMOSA,53.45,45.36,85.5,conflict,0.63,,manual_required
261,15935509,AL KABEER CHICKEN KOFTA 300G,Al Kabeer,Chicken Kofta-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,300 gm,1,CCCB,CHICKEN BIRYANI 400,400 Gms x 12 Pkts,READY2EAT,54.43,48.15,85.5,conflict,1.81,,manual_required
270,15937612,AL KABEER ZING CHICKEN FILLET NON SPICY 750GM,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKJCNA,JUMBO CHICKEN NUGGETS,1 Kgs x 5 Pkts,NUGGETS,51.99,41.18,85.5,conflict,0.09,,manual_required
276,15937618,AL KABEER CHICKEN TANDOORI NUGGETS 270GM,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,270 gm,1,CCCB,CHICKEN BIRYANI 400,400 Gms x 12 Pkts,READY2EAT,53.64,45.9,85.5,conflict,0.45,,manual_required
283,15937625, AL KABEER KRAZEE CHICKEN NUGGETS / BREADED CHICKEN FILLET HOT 750GM,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,54.59,48.61,85.5,conflict,0.43,,manual_required
284,15937625, AL KABEER KRAZEE CHICKEN NUGGETS / BREADED CHICKEN FILLET HOT 750GM,Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCCTM,CHICKEN TIKKA MAKHANI & PILAU RICE,450 Gms x 12 Pkts,READY2EAT,54.2,47.5,85.5,conflict,0.05,,manual_required
301,15944481,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
302,15944484,Al Kabeer Krazee Chicken Nuggets 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.41,42.37,85.5,conflict,0.06,,manual_required
311,15950525,Al Kabeer  Paneer Cubes 200 gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.79,43.48,85.5,conflict,0.32,,manual_required
317,15966934,Al Kabeer  Tandoori Chicken Nugget 270 gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,270 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,53.25,44.78,85.5,conflict,0.99,,manual_required
322,15982384,Al Kabeer Zing Chicken Fillet/Zing Chicken Nuggets Non-Spicy 750gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CCCB,CHICKEN BIRYANI 400,400 Gms x 12 Pkts,READY2EAT,52.62,42.98,85.5,conflict,0.41,,manual_required
323,15982384,Al Kabeer Zing Chicken Fillet/Zing Chicken Nuggets Non-Spicy 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Zing,750 gm,1,CCCB,CHICKEN BIRYANI 400,400 Gms x 12 Pkts,READY2EAT,53.68,46.02,85.5,conflict,1.06,,manual_required
329,16009623,Al Kabeer krazee Chicken nuggets 750 gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.18,41.74,85.5,conflict,0.05,,manual_required
331,16039332,ALKABEER TENDER CHICKEN BREAST 1000GM,Al Kabeer,Chicken Breast-Frozen,No Variant,Frozen Chicken Parts,1000 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,52.58,42.86,85.5,conflict,0.19,,manual_required
338,16043117,Al kabeer Zing chicken Fillets 750 gm assorted Frozen,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,54.12,47.27,85.5,conflict,0.55,,manual_required
341,16047181,"AL KABEER CHICKEN NUGGETS OR BREADED FILLET, 750 GRAMS",Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,54.42,48.12,85.5,conflict,0.26,,manual_required
342,16047181,"AL KABEER CHICKEN NUGGETS OR BREADED FILLET, 750 GRAMS",Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,BF,BEEF TENDERLOIN/FILLET,20 KGS,MEAT-INDIAN-TRD,53.96,46.81,85.5,conflict,0.32,,manual_required
345,16047190,"AL KABEER PUNJABI SAMOSA, 900 GRAMS",Al Kabeer,Samosa-Frozen,Punjabi,"Frozen Pizzas, Wraps, Sandwiches",900 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,53.89,46.6,85.5,conflict,0.67,,manual_required
354,16055346,Al Kabeer Zing Chicken Fillets/ Strips 750 gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKSAA,CHICKEN SAMOSAS BULK,1.2 Kgs x 4 Pkts,SAMOSA,53.29,44.9,85.5,conflict,0.08,,manual_required
355,16055346,Al Kabeer Zing Chicken Fillets/ Strips 750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,53.55,45.65,85.5,conflict,0.34,,manual_required
356,16055347,Al Kabeer Krazee Chicken Nuggets (750gm),Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.41,42.37,85.5,conflict,0.06,,manual_required
371,16066400,Al Kabeer Mix Vegetable 900gm,Al Kabeer,Mix Vegetables-Frozen,No Variant,Frozen Vegetables,900 gm,1,CFBJ,JUMBO HOTDOGS,400 Gms x 20 Pkts,SAUSAGES,52.28,42.0,85.5,conflict,0.4,,manual_required
372,16066402,Al Kabeer  Punjabi Samosa 900 gm,Al Kabeer,Samosa-Frozen,Punjabi,"Frozen Pizzas, Wraps, Sandwiches",900 gm,1,CCSAK,12 CHEESE SAMOSAS,240 Gms x 20 Pkts,SAMOSA,53.89,46.6,85.5,conflict,0.67,,manual_required
373,16066829,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
375,16066995,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
377,16076291,Al Kabeer Mixed Vegetables/ Garden Peas 900gm,Al Kabeer,Mix Vegetables-Frozen,No Variant,Frozen Vegetables,900 gm,1,CCCB,CHICKEN BIRYANI 400,400 Gms x 12 Pkts,READY2EAT,52.48,42.59,85.5,conflict,0.0,,manual_required
378,16076291,Al Kabeer Mixed Vegetables/ Garden Peas 900gm,Al Kabeer,Green/Garden Peas-Frozen,No Variant,Frozen Vegetables,900 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,51.83,40.74,85.5,conflict,0.01,,manual_required
379,16083335,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
396,16089871,Al Kabeer Zing Chicken Strips Non Spicy 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKN,CHICKEN NUGGETS,270 Gms x 20 Pkts,NUGGETS,54.89,49.46,85.5,conflict,2.99,,manual_required
398,16098231,Al Kabeer Zing Chicken Strips Non Spicy 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKN,CHICKEN NUGGETS,270 Gms x 20 Pkts,NUGGETS,54.89,49.46,85.5,conflict,2.99,,manual_required
405,16119184,Al Kabeer Breaded Chicken Fillets-Frozen 750 gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKCKB,CHICKEN BURGERS 56 g,840 g. x 9,BURGERS,53.67,45.98,85.5,conflict,0.54,,manual_required
406,16119185,Al Kabeer Chicken Pop Corn 750Gm,Al Kabeer,Chicken Popcorn-Frozen,No Variant,Marinated & Breaded,750 gm,1,CKCKB,CHICKEN BURGERS 56 g,840 g. x 9,BURGERS,51.89,40.91,85.5,conflict,0.44,,manual_required
407,16119186,Al Kabeer Chicken Fingers/ Fries/ Strips-Frozen	750 gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKCKB,CHICKEN BURGERS 56 g,840 g. x 9,BURGERS,52.79,43.48,85.5,conflict,0.48,,manual_required
420,16121718,Al Kabeer  Zing Chicken Strips Non Spicy + Chicken Nuggets (750g),Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.8,49.21,85.5,conflict,0.12,,manual_required
439,16141970,Al Kabeer krazee Chicken nuggets 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.41,42.37,85.5,conflict,0.06,,manual_required
451,16145006,Al Kabeer Chicken Nuggets /Krazee Chicken Nuggets 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCF,CHICKEN FRIES,12 PKTS X 400 GRM,POP-CORN & CHICKEN FRIES,54.63,48.74,85.5,conflict,1.09,,manual_required
453,16145009,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
461,16146104,AlKabeer Zing Chicken Strips/ Fillets Non Spicy 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,52.62,42.98,85.5,conflict,0.56,,manual_required
462,16146104,AlKabeer Zing Chicken Strips/ Fillets Non Spicy 750gm,Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,54.4,48.06,85.5,conflict,0.54,,manual_required
466,16165272,AL KABEER BOBBY VEAL 2 LBS,Al Kabeer,Bobby Veal-Frozen,No Variant,Other Frozen Meat,2 lbs,1,LBVL,BONELESS VEAL LOCAL,20 X 2 LB,TRADING-MEAT,51.65,53.33,50.75,,3.72,,manual_required
469,16165275,AL KABEER HASH BROWNS 2.5KG,Al Kabeer,Hash browns,No Variant,Frozen Potato/ Fries/ Onion rings,2.5 kg,1,SFM,FISH MILK,1 kg x 10 Pkts,TRADING-FISH,51.97,41.12,85.5,conflict,0.8,,manual_required
478,16170942,Al kabeer B.Chicken Fillet 750 gm ,Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CKCKB,CHICKEN BURGERS 56 g,840 g. x 9,BURGERS,51.89,40.91,85.5,conflict,1.01,,manual_required
481,16173428,"AL KABEER MIXED VEGETABLES, 900 GRAMS",Al Kabeer,Mix Vegetables-Frozen,No Variant,Frozen Vegetables,900 gm,1,CFBJ,JUMBO HOTDOGS,400 Gms x 20 Pkts,SAUSAGES,51.88,40.86,85.5,conflict,0.3,,manual_required
486,16180035,Al Kabeer Chicken Pop Corn (750g),Al Kabeer,Chicken Popcorn-Frozen,No Variant,Marinated & Breaded,750 gm,1,CKCKB,CHICKEN BURGERS 56 g,840 g. x 9,BURGERS,51.89,40.91,85.5,conflict,0.06,,manual_required
506,16191988,Al Kabeer krazee Chicken Nuggts 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,52.09,41.48,85.5,conflict,0.52,,manual_required
507,16193670,Al Kabeer Paneer Cubes 200Gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
510,16196936,AL KABEER PANEER CUBES 200G,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.79,43.48,85.5,conflict,0.32,,manual_required
514,16216838,Al Kabeer Zing Chicken Strip Non-Spicy 750gm + Chicken Nuggets 750gm,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CCKSB,CHICKEN STICKS BULK,1 Kgs x 5 Pkts,STICKS & FINGERS,53.68,46.02,85.5,conflict,0.22,,manual_required
