dump_product,Product,Variant,Base Packsize,protein,types,reason
"AL KABEER CHICKEN SEEKH KABAB, TANDOORI, MEAT BALL OR CHEESE STICKS 240 - 320 gm",Chicken Meatballs-Frozen,No Variant,1 pack,chicken/veg,cheese_stick/kebab,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Fillet H&S/Strips/Nuggets 2X330Gm,Chicken Nuggets-Frozen,No Variant,330 gm,chicken,fillet/nuggets/strips,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Pop Corn 750gm+250gm,Chicken Popcorn-Frozen,No Variant,(750+250) gm,chicken/veg,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Pop-Corn 1000g,Chicken Popcorn-Frozen,No Variant,1 kg,chicken/veg,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER CHICKEN POPCORN 750GM,Chicken Popcorn-Frozen,No Variant,750 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
"Al Kabeer Beef or Chicken Kibbeh, Chicken N' Cheese Rings or Pop Corn, 300 - 400 gm",Chicken Rings,No Variant,400 gm,beef/chicken/veg,kibbeh,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer ZingChckn Strp/Flt NoSpicy750+250 gm,Chicken Strips-Frozen,No Variant,(750+250) gm,chicken,strips,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Fillet H&S/Strips/Nuggets 2X330Gm,Chicken Strips-Frozen,No Variant,330 gm,chicken,fillet/nuggets/strips,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken & Cheese 250gm / Spicy Strips Assorted ,Chicken Strips-Frozen,Spicy,1 pack,chicken/veg,strips,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Tandoori Chicken Tikka 300gm,Chicken Tikka-Frozen,No Variant,300 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Tikka Tandoori 480 gm,Chicken Tikka-Frozen,No Variant,480 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Tandoori Chicken Tikka 500gm,Chicken Tikka-Frozen,No Variant,500 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Waffle Fries 750gm,Crisscut Fries-Frozen,No Variant,750 gm,,fries_wedges,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Falafel (1Kg),Falafel-Frozen,Non-Stuffed,1 kg,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Felafel 1000 gm,Falafel-Frozen,Non-Stuffed,1000 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Felafel 360 gm,Falafel-Frozen,Non-Stuffed,360 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Fish Finger 2*250GM,Fish Fingers,No Variant,250 gm,fish,fries_wedges,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Waffle Fries 750 gm,French Fries-Frozen,No Variant,750 gm,,fries_wedges,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Green Peas2x400gm+Paneer 200gm,Green/Garden Peas-Frozen,No Variant,2x400 gm,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Green Peas/Mix Vegetable 2x400 gm,Green/Garden Peas-Frozen,No Variant,400 gm,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER GREEN PEAS/MIX VEGETABLE 900GM,Green/Garden Peas-Frozen,No Variant,900 gm,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER JUMBO HOT DOG 400G,Hotdogs-Frozen,No Variant,400 gm,,hotdog,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
ALKABEER LAMB KIBBEH 1000GM,Lamb Kibbeh-Frozen,No Variant,1000 gm,lamb,kibbeh,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Mango Pulp 1 kg,Mango-Frozen,No Variant,1 kg,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Arabic Kofta Meat 300 gm,Meat Kofta/Arabic Kofta-Frozen,No Variant,300 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Mince 400gm,Minced Chicken-Frozen,No Variant,400 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL Kabeer green peas\ mix veg 400gm,Mix Vegetables-Frozen,No Variant,1 pack,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Green Peas/Mix Vegetable 2x400 gm,Mix Vegetables-Frozen,No Variant,400 gm,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER GREEN PEAS/MIX VEGETABLE 900GM,Mix Vegetables-Frozen,No Variant,900 gm,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Large Prawns 400 gm,Peeled Shrimps/Prawns Frozen,No Variant,400 gm,fish,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Large Prawns 450 Gm,Peeled Shrimps/Prawns Frozen,No Variant,450 gm,fish,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Jumbo Shrimps 454 gm,Peeled Shrimps/Prawns Frozen,No Variant,454 gm,fish,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Large Jumbo Shrimps 800 gm x 2 pcs,Peeled Shrimps/Prawns Frozen,No Variant,800 gm,fish,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
"Al Kabeer Assorted (Chicken Spring Rolls 1120g, Vegetable & Chicken Samosas 1200g)",Samosa-Frozen,Chicken,1200 gm,chicken/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Assorted (Chicken Samosas 480 gm / Chicken Spring Rolls 560 gm),Samosa-Frozen,Chicken,480 gm,chicken,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
"AL KABEER CHICKEN OR VEGETABLE SPRING ROLLS, MUTTON SAMOSAS, 240 - 280 gm",Samosa-Frozen,Mutton,280 gm,chicken/lamb/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Sadia Assorted (Cheese Samosas /  Mutton Samosas) 480 gm,Samosa-Frozen,Mutton,480 gm,lamb/veg,samosa,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
"Al Kabeer Assorted (Chicken Spring Rolls 1120g, Vegetable & Chicken Samosas 1200g)",Samosa-Frozen,Other-Veg,1200 gm,chicken/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
ALKABEER CHICKEN KOFTA/VEGETABLE SAMOSA/SPRING ROLL/ROLLS 240/300/280 gm,Samosa-Frozen,Other-Veg,300 gm,chicken/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER SAMOSA 240 gm OR 450 gm - ASSORTED,Samosa-Frozen,Other-Veg,450 gm,veg,samosa,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken/Vegetable Samosa 480 gm/Spring Roll 560 gm,Samosa-Frozen,Other-Veg,480 gm,chicken/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Seekh Kebabs / Shish Tawook 2X240 Gm ,Seekh Kabab-Frozen,No Variant,240 gm,chicken,kebab,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Shish Tawook 1000gm,Shish/Sheesh Tawook-Frozen,No Variant,1000 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER CHICKEN SHISH TAWOOK 2X240 gm,Shish/Sheesh Tawook-Frozen,No Variant,2x240 gm,chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Or Cheese Spring Rolls 750g,Spring Roll-Frozen,No Variant,1 pack,chicken/veg,spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Spring Roll Chicken 1.4Kg,Spring Roll-Frozen,No Variant,1.4 Kg,chicken,spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer CHICKEN/VEGETABLE SPRING ROLL 2X200gm/Cheese 2x2400m,Spring Roll-Frozen,No Variant,200 gm,chicken/veg,spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
"Al Kabeer MUTTON, PUNJABI SAMOSA OR CHEESE SPRING ROLLS, 240 - 450 gm",Spring Roll-Frozen,No Variant,450 gm,lamb/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Samosa 480g / Springrolls 580g / (Chicken / Vegetable),Spring Roll-Frozen,No Variant,580 gm,chicken/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Alkabeer Strawberry 1 kg,Strawberry-Frozen,No Variant,1 kg,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Strawberries 450g x 2,Strawberry-Frozen,No Variant,450 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Corn on the Cob 800gm,Sweet Corn-Frozen,No Variant,800 gm,veg,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Corn 4 pcs/Frozen Mixed Veg./Green Peas 900gm,Sweet Corn-Frozen,No Variant,900 gm,veg,peas,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Tortilla Wraps 875 gm,Tortilla Wraps-Frozen,No Variant,875 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Burger Vegetable 227Gm,Vegetable Burger-Frozen,No Variant,227 gm,veg,burgers,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Spicy Zing Fish Fillets 390 gm,Zing Fish Fillet,No Variant,390 gm,fish,fillet,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Zing Fish Fillet Non Spicy / Shrimps Non-Spicy 750gm,Zing Shrimps,No Variant,750 gm,fish,fillet,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Spicy Zing Shrimps 400 gm,Zing Shrimps,Spicy,400 gm,fish,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
