Al Kabeer Master SKU,Competitor Brand Names,Competitor Offers
CKMBAB - CHICKEN MEAT BALLS CATERING PACK 1 kg x 5 pkts,,
CKMCB - TENDER CHICKEN BREAST,"1. Al Zook
2. Tayba
3. Tanmiah
4. Dari
5. Tamimi Markets","1. Tender Chicken Breast 1kg (1 kg)
2. Tender Chicken Breast 1 kg (1 kg)
3. Al Kabeer Tender Chicken Breast 0.5 kg (1 kg)
4. Tender Chicken Breast 1 kg (1 kg)
5. TM Tender Chicken Breast 1 kg (1 kg)"
CKMCBA - TENDER CHICKEN BREAST SPICY FLAVOURED,,
CKN - CHICKEN NUGGETS,,
CKN400 - CHICKEN NUGGETS (400G),,
CKNA - CHICKEN NUGGETS BULK 1x5,,
CKNAD - CHICKEN NUGGETS 750 GMS,"1. Seara
2. Lulu
3. Panda
4. Seara
5. Seara
6. Seara
7. Seara
8. Seara
9. Lulu
10. Farm
11. Sadia
12. Lulu
13. Sadia
14. Sadia
15. Sadia
16. Sadia
17. Farm
18. Seara
19. Farm
20. Miza
21. Lulu
22. Lulu
23. Lulu
24. Lulu
25. Radwa
26. Radwa
27. Doux
28. Farm
29. Cucina
30. Cucina
31. Cucina
32. Al Ain
33. Sadia
34. Panda
35. Lulu
36. Radwa
37. Al Ain
38. Al Ain
39. Al Ain
40. Cucina","1. Seara Chicken Nuggets 2x350gm (350 gm)
2. Lulu Chicken Nuggets 750 Gm (750 gm)
3. Panda Chicken Nuggets 1+1x 400g (400 gm)
4. Seara Chicken Nuggets 2x350gm (350 gm)
5. Chicken Nuggets 750gm (750 gm)
6. Chicken Nuggets 750gm (750 gm)
7. Chicken Nuggets 750gm (750 gm)
8. Chicken Nuggets 750gm (750 gm)
9. Lulu Chicken Nuggets 750 Gm (750 gm)
10. Farm CHICKEN NUGGETS 750 gm (750 gm)
11. Sadia Chicken Nuggets 2x(400 gm) (400 gm)
12. Lulu Chicken Nuggets 750 Gm (750 gm)
13. Sadia Chicken Nuggets 750g + 250g FREE / Chicken Nuggets 2 X400g / Chicken Nuggets 270g - 2 + 1 (2x400 gm)
14. Sadia Chicken Nuggets 750g + 250g FREE / Chicken Nuggets 2 X400g / Chicken Nuggets 270g - 2 + 1 (2x400 gm)
15. Sadia Chicken Nuggets 750g + 250g FREE / Chicken Nuggets 2 X400g / Chicken Nuggets 270g - 2 + 1 (2x400 gm)
16. Sadia Chicken Nuggets 750g + 250g FREE / Chicken Nuggets 2 X400g / Chicken Nuggets 270g - 2 + 1 (2x400 gm)
17. Farm CHICKEN NUGGETS 750 gm (750 gm)
18. Sear Chicken Nuggets 750 gm  (750 gm)
19. Farm CHICKEN NUGGETS 750 gm (750 gm)
20. Miza Chicken Nuggets (1500 gm) (1500 gm)
21. LuLu Chicken Nuggets 250gm x3 (250 gm)
22. LuLu Chicken Nuggets 250gm x3 (250 gm)
23. LuLu Chicken Nuggets 250gm x3 (250 gm)
24. LuLu Chicken Nuggets 250gm x3 (250 gm)
25. Radwa Chicken Nuggets 2x400 gm (400 gm)
26. Radwa Chicken Nuggets 2x400 gm (400 gm)
27. Doux Chicken Nuggets 400 gm /  500gm (500 gm)
28. Farm CHICKEN NUGGETS 750 gm (750 gm)
29. CUCINA Chicken Nuggets 1X 800gm (800 gm)
30. CUCINA Chicken Nuggets 1X 800gm (800 gm)
31. CUCINA Chicken Nuggets 1X 800gm (800 gm)
32. Al Ain Chicken Nuggets 2x400g Special Offer (400 gm)
33. Sadia Chicken Nuggets 750Gm (750 gm)
34. Panda Chicken Nuggets (750g) (750 gm)
35. Lulu Chicken Nuggets 750 Gm (750 gm)
36. Radwa Chicken Nuggets 2x400 gm (400 gm)
37. Al Ain Chicken Nuggets 2x400g Special Offer (400 gm)
38. Al Ain Chicken Nuggets 2x400g Special Offer (400 gm)
39. Al Ain Chicken Nuggets 2x400g Special Offer (400 gm)
40. CUCINA Chicken Nuggets 1X 800gm (800 gm)"
CKNAPP - Chicken Nuggets +33% Free,,
CKNAPR - AK PRO CHICKEN NUGGETS BULK,,
CKNCKSP - Chicken Nuggets + Free Chicken Samosa Combo Pack,,
CKNHSA - CHICKEN NUGGETS HOT & SPICY BULK,,
CKNHSD - Chicken Nuggets HOT n SPICY,,
CKNK - KRAZEE CHICKEN NUGGETS 400,,
CKNKDA - KRAZEE CHICKEN NUGGETS SPICY 750 GRM,,
CKNKDAP - Krazee Chicken Nuggets +33% Free,,
CKNKP - KRAZEE CHICKEN NUGGETS TWIN PROMO PACK,,
CKNKPP - KRAZEE CHICKEN NUGGETS +25% FREE,,
CKNNAPR - AK PRO Chicken Nuggets 1 kg x 10,,
CKNTMP - Tempura Chicken Nuggets Non Spicy,"1. Sadia
2. Farm Fresh
3. Sadia
4. Sadia
5. Sadia
6. Sadia
7. Seara
8. Seara
9. Seara
10. Seara
11. Seara
12. Lulu
13. Americana
14. Americana
15. Americana
16. Americana
17. Qualiko
18. Al Areesh
19. Al Areesh
20. Al Areesh
21. Al Areesh
22. Sunbulah
23. Farm Fresh
24. Freshly Foods (Fff)
25. Freshly Foods (Fff)
26. Freshly Foods (Fff)","1. Sadia Chicken Nuggets Tempura / Tempura Nuggets Spicy 750gm (750 gm)
2. FARM TEMPURA CHICKEN NUGGETS 700 GM / FRIES 750 gm (750 gm)
3. Sadia Chicken Nuggets Tempura Spicy / Chicken Nuggets Tempura 2 X 750 gm (750 gm)
4. Sadia Chicken Nuggets Tempura / Chicken Nuggets Tempura Spicy 2 X 750 gm (750 gm)
5. Sadia Chicken Nuggets Tempura / Chicken Nuggets Tempura Spicy 2 X 750 gm (750 gm)
6. Sadia Chicken Nuggets Tempura / Chicken Nuggets Tempura Spicy 2 X 750 gm (750 gm)
7. Seara Chicken Nuggets Tempura / Nuggets 750 gm (750 gm)
8. Chicken Nuggets Tempura 750g/Chicken Nuggets 750g+250g (750 gm)
9. Chicken Nuggets Tempura 750g/Chicken Nuggets 750g+250g (750 gm)
10. Chicken Nuggets Tempura 750g/Chicken Nuggets ((750+250) gm)
11. Chicken Nuggets Tempura 750g/Chicken Nuggets 750g+250g (750 gm)
12. LuLu Tempura Chicken Nuggets 700gm (700 gm)
13. CHICKEN NUGGETS 750 gm + 250 gm / TEMPURA CHICKEN NUGGETS 700 gm +300 gm ((700+300) gm)
14. CHICKEN NUGGETS 750 gm + 250 gm / TEMPURA CHICKEN NUGGETS 700 gm +300 gm ((700+300) gm)
15. CHICKEN NUGGETS 750 gm + 250 gm / TEMPURA CHICKEN NUGGETS 700 gm +300 gm ((700+300) gm)
16. CHICKEN NUGGETS 750 gm + 250 gm / TEMPURA CHICKEN NUGGETS 700 gm +300 gm ((700+300) gm)
17. QUALIKO CHICKEN NUGGETS SPICY 750 gm (750 gm)
18. Spicy Chicken Tempura Nuggets 700Gm (700 gm)
19. Spicy Chicken Tempura Nuggets 700Gm (700 gm)
20. Spicy Chicken Tempura Nuggets 700Gm (700 gm)
21. Spicy Chicken Tempura Nuggets 700Gm (700 gm)
22. Sunbulah Chicken Nuggets 2x400 gm (400 gm)
23. Tempura Chicken Nuggets 1000 gm (1000 gm)
24. FFF tempura nuggets 750 gm + chicken nuggets 750 gm (750 gm)
25. FFF tempura nuggets 750 gm + chicken nuggets 750 gm (750 gm)
26. FFF tempura nuggets 750 gm + chicken nuggets 750 gm (750 gm)"
CKNTY - TAYEBAT CHICKEN NUGGETS 1 kg x 10 Pkts,,
CKPC - CHICKEN POP-CORN,,
CKPCDA - CHICKEN POP-CORN 750 GMS,,
CKPSAPR - AK PRO Plain Chicken Strips 30 g. 1 kg x 10,,
CKSA - 12 CHICKEN SAMOSAS,,
CKSAA - CHICKEN SAMOSAS BULK,,
CKSAP - CHICKEN SAMOSAS TWIN PROMO PACK,,
CKSAPR - AK PRO CHICKEN SAMOSA,,
CKSK - SHISH KEBAB,,
CKSR - 8 CHICKEN SPRING ROLLS,,
CKSRA - CHICKEN SPRING ROLL BULK (5*1120G),,
CKSRP - 8 CHICKEN SPRING ROLLS TWIN PROMO PACK,,
CKST - SHISH TAWOOK,,
CKSTA - SHISH TAWOOK BULK,,
CKSTY - TAYEBAT BREADED CHICKEN STRIPS NON SPICY 1 kg x 10 Pkts,,
CKTCB - TENDER CHICKEN BREAST TRAY PACK,,
CKTCK - TURKISH CHICKEN KEBAB,,
CKTCT - TANDOORI CHICKEN TIKKA,,
CKTCTB - TANDOORI CHICKEN TIKKA BULK,,
CKTN - TANDOORI CHICKEN NUGGETS 270,,
CKZF - ZING CHICKEN FILLETS 465,,
CKZFA - ZING CHICKEN FILLETS BULK (5*1 KG),,
CKZFA5 - ZING CHICKEN FILLET BULK 5-OUNCE,,
CKZFACKNP - Zing Chicken Fillets Spicy + Free Chicken Nuggets,,
CKZFBC - Butter Chicken Zing Fillets 700 g. x 8,,
CKZFCCFAP - Zing Chicken Fillets Spicy + Free Chicken Fries Bulk,,
CKZFDA - ZING CHICKEN FILLETS SPICY 750 GRM,"1. Seara
2. Seara
3. Seara
4. Seara
5. Seara
6. Seara
7. Seara
8. Seara
9. Seara
10. Sadia
11. Sadia
12. Sadia
13. Sadia
14. Al Areesh
15. Al Areesh
16. Al Areesh
17. Al Areesh
18. Al Areesh
19. Americana
20. Americana
21. Americana
22. Bibi
23. Siniora
24. Siniora
25. Siniora
26. Siniora
27. Farm Fresh
28. Al Wadi
29. Al Wadi
30. Tamimi Markets
31. Royal
32. Farm Fresh
33. Farm Fresh
34. Farm Fresh
35. Farm Fresh
36. Al Islami
37. Royal
38. Royal
39. Al Wadi
40. Al Islami
41. Al Islami
42. Al Islami
43. Al Islami
44. Prime","1. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
2. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
3. Seara Chicken Fillets/Spicy 400 gm (400 gm)
4. Seara Zingz Chicken Fillet / Strips Zingz / Fillet 750gm (750 gm)
5. Seara Spicy Chicken Fillets  2X750 Gm (750 gm)
6. Seara Spicy Chicken Fillets  2X750 Gm (750 gm)
7. Seara Spicy Chicken Fillets  2X750 Gm (750 gm)
8. Seara Spicy Chicken Fillets  2X750 Gm (750 gm)
9. Seara Chicken Strips/Spicy/Chicken Fillets 750 gm+250 gm ((750+250) gm)
10. SADIA ZING CHICKEN FILLETS 750G (750 gm)
11. SADIA ZING CHICKEN FILLETS 750G (750 gm)
12. SADIA ZING CHICKEN FILLETS 750G (750 gm)
13. SADIA ZING CHICKEN FILLETS 750G (750 gm)
14. Zing Chicken Fillet Spicy Zing Chicken Strips Spicy 700 gm (700 gm)
15. Zing Chicken Fillet Spicy Zing Chicken Strips Spicy 700 gm (700 gm)
16. Zing Chicken Fillet Spicy Zing Chicken Strips Spicy 700 gm (700 gm)
17. Zing Chicken Fillet Spicy Zing Chicken Strips Spicy 700 gm (700 gm)
18. Zing Chicken Fillet Spicy Zing Chicken Strips Spicy 700 gm (700 gm)
19. Americana Zing Chicken Fillets 700 gm (700 gm)
20. Americana Zing Chicken Fillets 700 gm (700 gm)
21. Americana Zing Chicken Fillets 700 gm (700 gm)
22. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
23. Siniora Chicken Fillets Spicy 750 gm (750 gm)
24. Siniora Chicken Fillets Spicy 750 gm (750 gm)
25. Siniora Chicken Fillets Spicy 750 gm (750 gm)
26. Siniora Chicken Fillets Spicy 750 gm (750 gm)
27. FarmFresh Zing Chicken Strips/Fillets 700 gm (700 gm)
28. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
29. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
30. Tamimi Markets Chicken Fillets Spicy 400 GRAMS (400 gm)
31. Royal Chicken Fillet/ Zingz 10x750g (or) Royal Chicken Strips Regular / spicy (750 gm)
32. FarmFresh Zing Chicken Strips/Fillets 700 gm (700 gm)
33. FarmFresh Zing Chicken Strips/Fillets 700 gm (700 gm)
34. FarmFresh Zing Chicken Strips/Fillets 700 gm (700 gm)
35. FarmFresh Zing Chicken Strips/Fillets 700 gm (700 gm)
36. Al Islami Zing Chicken Fillet Spicy, Zing Chicken Strips Spicy 700g (700 gm)
37. Royal Chicken Fillets 750 gm (750 gm)
38. Royal Chicken Fillets 750 gm (750 gm)
39. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
40. Al Islami Zing Chicken Fillet Spicy, Zing Chicken Strips Spicy 700g (700 gm)
41. Al Islami Zing Chicken Fillet Spicy, Zing Chicken Strips Spicy 700g (700 gm)
42. Al Islami Zing Chicken Fillet Spicy, Zing Chicken Strips Spicy 700g (700 gm)
43. Al Islami Zing Chicken Fillet Spicy, Zing Chicken Strips Spicy 700g (700 gm)
44. Prime Chicken Zing Strips Spicy 750g (750 gm)"
CKZFDA5 - Zing Chicken Fillets 5-Ounce,"1. Sadia
2. Al Falaq
3. Al Areesh
4. Royal
5. Al Areesh
6. Farm Fresh
7. Americana
8. Al Ain
9. Seara
10. Seara
11. Seara
12. Farm
13. Prime","1. SADIA ZING CHICKEN FILLETS 750G (750 gm)
2. Al Falaq Chicken Zing R Fillets 800 gm  (800 gm)
3. Al Areeh Zing Chicken Fillets / Strips 700 gm (700 gm)
4. Royal Chicken Fillets 750 gm (750 gm)
5. Al Areesh Chicken Zing Fillets 700 gm (700 gm)
6. Farm Fresh Zing Chicken Fillets 700g Zing Chicken Strips 700g Zing Chicken Strips 700gm (700 gm)
7. Americana Zing Chicken Fillets 700 gm (700 gm)
8. Al Ain Chicken Fillet Zing 2x400gm (400 gm)
9. SEARA 250G+750G CHICKEN STRIPS CHICKEN FILLETS ((750+250) gm)
10. Seara Chicken Fillet / Zing-zo (750 gm) (750 gm)
11. Seara Chicken Fillets 750Gm (750 gm)
12. Farm Chicken Fillet 750 gm   (750 gm)
13. Prime Chicken Zing Fillet 750 gm (750 gm)"
